review	rating
Jaha? Vattenanalys hade inte koll på min mailadress som jag angav på beställningen och på dokumentet som bifogades med vattenprovet. Därpå fick jag efter mångaaaa veckor brev där det hotades med  KRAVBREV FRÅN KRONOFOGDEN!!!!!. För dåligt att ni inte har bättre koll. Nåväl nu har jag spytt galla, så nu vill jag som mångårig kund hädanefter slipper sådan här debackel 🤨. Min Mail adress ÄR (kolla noga nu)  ”Se min beställning” hädanefter. Mvh Marino	1
Beställde paket, som inte kom. Mailade och fick testkit skickat någon vecka senare.Skickade provet 3 Juli, fortfarande inte fått resultatet idag 8 Augusti trots mail och försök att nå dem per telefon.Orimligt att behöva vänta så länge och oproffsigt att inte svara missnöjd kund.Vill ha pengarna tillbaka då jag vänt mig till annat företag, men det kan jag väl också glömma.	1
Svensk vattenanalys rekommenderas inte. De ger ett löfte om en svarstid på max tre veckor. Men har uppenbarligen inga som helst rutiner för när de inte kan innehålla löftet. Det är tydligen upp till kunden att tjata istället. Har efterfrågat svar flera gånger och får bara veta att svaret är försenat. Hur ska jag kunna lita på att mina prover hanteras ordentligt när de verkar sakna rutiner för något så enkelt som kommunikation med kund.	1
Jag lämnade in mitt vattenprov veckan FÖRE midsommar och har fortfarande INTE fått svar !!! Skickar email och frågar NÄR mitt svar ska komma,,,,får inte ens svar ,,, Betalade direkt när jag fick flaskorna som fylldes med vatten och skickade iväg	1
Jag skickade in mina vattenprover den 7/6 och har fortfarande inte fått något svar. De lovade svar efter ca 2 veckor men nu har det gått 7 veckor. Jag har ringt och mailat flera gånger men det kommer inget resultat. Riktigt jobbigt eftersom vi inte vågar dricka vattnet före resultatet kommit. Hela sommaren har vi fått köpa vatten istället. Både dyrt och inte så miljövänlig. Jag är riktigt besviken faktisk.	1
Lång leveranstid och dålig återkoppling	1
Gjorde enligt deras anvisningar och ändå var vattnet ”för” varmt när dom mottog de	1
Fick betala returfrakten,skulle bara vara att lämna in.Detta gällde bara vissa ställen, i mitt fall 60 km till närmaste inlämningsställena.	1
Tråkigt att Circlek i Enköping inte tar detta seriöst!	1
Beställt och betalat. Men när man fyllt proverna gick de inte att skicka in. Det var bara vissa platser man kunde lämna in. Det framgick inte tydligt vid beställning. Välj ett annat företag.	1
Lång väntan på svar. Konstigt inlämningsställe, med stora frågetecken	1
Inget händer lämnade in vatten prov för 2 månader sedan	1
Rekommenar ej väntar fortfarande på svar	1
Tyvärr är vi en missnöjd kund som ännu inte fått vårt provsvar när ni skickar ut en fråga om att ge betyg för en produkt vi inte fått levererad. Vi skickade in vårt prov till anvisat inlämningsställe den 9e maj och väntar fortfarande. Efter kontakt med er fick vi ett ofullständigt preliminärt svar via telefon som vi ej kan använda med ett löfte om att få rapporten som fortfarande inte kommit.Pga av så sent svar har vi redan sålt fastigheten idag utan det provsvar som var tänkt att vara en bilaga till avtalet. Produkten är säkert bra men utan leverans av svaret så känns det som pengarna i sjön.	1
Bluff företag satt i system att ta betalt för ingenting el plastflaska och isbit. Ta gärna en annan firma detta är ren bluff.....	1
Varit kund i 2 år. Rekommenderat er till många men aldrig igen. Jag har betalat varje faktura. Fått totalt 6 påminnelser under tiden som kund hos er. Som blivit betald samma dag som jag fått påminnelsen. Ni är det första företaget som jag stött på som skickar inkasso till en kund som gör rätt för sig. Hade jag hålla i betalningar 30 dagar, bestridit fakturor m.m så hade jag inte sagt något. Men när fakturan förfallit med 5 dagar och första instansen är inkasso är för mig som kund skrämmande. Betala 480 kr i mer kostnad för ni ser det som en risk. Finns inte en dubbelpåminnelse. Utav 30 fakturor har 6 st gått till påminnelse genom tiden som kund hos er. Där dem blivit betalda 5 dagar efter det originella förfallodatumet. Sjukt besviken på att jag rekommenderat er i alla år för detta trodde jag inte.	1
45 min väntan på att komma igenom telefon kö som inte ger upplysning om placering i kön. Ej heller möjlighet att bli uppringd.Mitt ärende: att teckna anbonemang	1
Skicka personalen på kundtjänst på kurs. Förenkla hanterandet av ärenden berörande döda anhöriga. Är man sambos sen 5 år så kanske man kan betros med uppgifter om faktura summor, ocrnummer m m sådant.	1
👎👎👎👎👎👎👎 under två dagar kunde inte jag komma fram  ,,,svarar inte på telefon riktigt bevis att det går inte att något lita på hopplöst företag,🤮🤮🤮🤮🤮Jag rekommenderar INTE detta företag Jag rekommenderar INTE detta företag 😡😡😡😡😡👎👎👎👎👎👎👎WARNING  WARNING WARNING WARNING	1
Ringde under en timma utan att komma fram och en röst som ville Jag skulle lämna telefonnummer så att jag skulle kunna bli uppringd.	1
Taskig support när flytt av micro produktionen krånglande.	1
Helt omöjlig att få kontakt med. Ska bara ringa in och förnya ett avtal till min gamla mor som vill fortsätta med fast. Trots att det finns en anhöriglag som säger att nära anhörig får hjälpa till så fordras fullmakt. När den väl är fixad ringer jag igen men efter 1 1/2 timme i kö lägger jag på och väntar på att bli uppringd istället. Och när ni väl ringer upp hinner jag inte ens svara innan ni lägger på. Har också mailat för snart en vecka sen men får inget svar den vägen heller.... Ni kanske tycker ni har nog med kunder nu så de äldre lägenhetsboende är varken så lönsamma eller viktiga.	1
Helt hopplöst att komma i kontakt med Skelleftå kraft vare sig som befintlig kund, min mor eller ny kund.	1
Det tråkigaste med Skellefteå kraft är att de svarar aldrig telefon, jag har suttit den seanste tiden i timmar för att komma fram. Man skyller på "mycket kunder"?? Samt att man har "för närvarande" hög belastning. Är för första gången tillbaka till dem efter ett upphål på mer än 10 år. Men nej det har inte blivit bättre. Det blir ett botten betyg, så varning för någon som försöker det kommer att ta tid.... När skall Skellefteå Kraft ta hand om sina kunder i stället för att skylla på allehanda triviala saker. Kom inte och skriv med att "ring oss på vårt nummer så skall vi etc etc. Det går ju inte att komma fram!!! Vid 3 tifällen när jag tillskrivit dem så blir det samma svar ring ring. Det måste bli ordning på torpet Skellfteå Kraft. Tacka vet jag kollegor i branschen som gillar oss kunder sålunda bättring önskas!!	1
Ej tillmötesgående för mindre kunder och en dålig app.	1
Skellefteåkraft har extremt dålig app och redovisning av såväl konsumerad el som redovisning av producerad el.Trots otaliga mail till kundtjänst om detta har ingen förbättring skett. Jag avråder därför på det bestämdaste att anlita Skellefteåkraft som leverantör eller mottagare av producerad el.	1
! till 2 timmars väntan i telefon 3dagar i rad skyller på många kunder???? Vad gör man då från er sida?? Fortfarande låååånga köer. Känner mig också lurad på årsförbrukningen, jag har sagt 3000 per år ni har också skrivit in detta i avtalet, sedan meddelar ni mig att vattenfall skriver 16000 per år, Jag pratade just med Vattenfall vilket säger att inte detta stämmer. Skellefteå kraft, hur hanterar ni era kunder??? Ta hand om kunderna, som första gång kund till er så är jag inte ett dugg imponerad av starten, Vem hjälper mig i nästa steg???? Just nu så upplever jag mer frågetecken än utropstecken, Dåligt hanterat!	1
Hade personlig kontakt med er och startade ett avtal. Nu när avtalet ska gå igång så ser jag att ni nekat mig utan att medela mig på samma sätt som när vi skapade kontraktet. Så om några dagar står jag utan elavtal 🤙	1
Otroligt dålig kundservice. Går inte komma fram när man ringer. Lång kö. Kopplas vidare och ingen kan lösa ärendet. Gällande chatten återkommer de inte som de lovat.	1
Ringde under en timma och 15 minuter  utan att komma fram och en röst  upprepade oupphörligt att den ville Jag skulle lämna telefonnummer så att jag skulle kunna bli uppringd.  Jag ringer som kund den tid som passar mig och då  ska inte någon idiotisk röst hålla hålla på tjöta i en timma och 15 minuter Om att jag ska lämna telefonnummer när jag ringer under Skellefteå Kraft telefontid.	1
Urusel kundservice - INGEN återkoppling och återkommer ALDRIG oavsett vad -Välj annat elbolag!	1
Kraftledningen drogs under jord fram till huset. Delar av gräsmattan revs upp i samband med detta och är än idag i mycket dåligt skick. Stora delar av ytan är ojämn (med hål, stenar och sand).Gräset/gräsmattan finns inte längre kvar.Nu är det september och SkeKraft tar inte hand om skadorna!	1
Tydligheten saknas.Ge all info innan avtalet startar. Varför vill ni ha betyg innan avtalet startas? Vad skall upplevas?	1
Kan inte mera än 1 stjärna har man anmärkningar så godkänner inte dom här att man tackar avtal hos  dom riktigt jäkla usel stil från dom här alla ska ha rätten tecken elavtal oavsett om man har anmärkningar eller inte riktigt illa från deras sida att sparka på människor med anmärkningar helt åt skogen	1
Skulle hjälpa min mamma att förnya avtal men det gick varken på mina sidor eller i appen. Krångligt och dålig information om hur man går tillväga.	1
Hitills väldigt nöjd. Intressant att se hur länge filtret håller. Gott vatten, ingen metallisk eftersmak som vi haft innan .	1
Hemsol för aggressiva.Om man kryssar 1 stjärna kommer texten: Vad hände, varför, hallå etc etc.Hemsol har dålig svenska i texten och är ej bra på att förklara.	1
I all reklam för solel, inte bra från Hemsol, nämns inte att skattereduktionen på 0.60 Kr försvinner redan 2026. Detta är uppenbart vilseledande.	1
Tycker inte det var bra första gången jag anmälde mig och det är inte bättre nu	1
Blev lovad kontakt med fyra matchande leverantörer och fick rekommendationen att avvakta med att leta på egen hand. Har väntat men bara hört av en till följd av Hemsols tjänst. Denna matchning ställde EN fråga om förutsättningarna på vår fastighet och meddelade sedan att de inte åtog sig den typen av uppdrag. Oklart på vilket sätt Hemsol menar att det var en matchning!!?	1
skicka ej mera till dhl skåp som inte finns !	1
Jag kan väl inte lämna något omdöme innan det beställda godset levererats. Idioter!	1
Varför kommer man inte åt hemsidan? Det står att om man fortsätter godkänner man att sidan använder cockies. Men det går inte att fortsätta med mindre än att meddela sin mail-adress. Inte ens då gått det att komma åt hemsidan, utan man hänvisas till en "direktchatt" där ingen svarar. Fullständigt värdelöst!	1
I deeply regret choosing AIRA for my heat pump installation. From unclear payment terms to poor installation quality, the experience has been a nightmare.Unfair Payment Practices – I was misled about the payment terms. I was led to believe I could spread over affordable terms only to later find out it was locked into 12 months—completely unaffordable for me. Despite raising this issue with AIRA they ignored my emails and are sending bailiffs to my property without responding. Shocking customer service.Substandard Installation – The work done was completely unprofessional:Leaks caused water damage across two floors, breaking my shower pump. The boiler flue was left uncapped, causing further leaks during rainfall.7 out of 9 radiators were the wrong size, and only 2 were installed. The electrician was absent for 2 of the 5 days and left a mess, even using my child’s toy broom to dig up pebbles! Poor insulation and unsupported pipework, leading to heat loss before the system even enters the house. Lack of Accountability – Despite multiple complaints, AIRA refuses to engage or resolve these issues. The quality of work is shocking for a company claiming to be a leader in renewable heating.I have since escalated my complaint to the Microgeneration Certification Scheme (MCS), Renewable Energy Consumer Code (RECC), and the Financial Ombudsman due to unethical business practices and substandard installation.Avoid AIRA at all costs! They don’t care about their customers. If you value your home, your finances, and your sanity—go elsewhere.	1
Had looked at several companies in relation to possibly changing from oil heating to an Air Source heat pump and have had 3 different quotes, 2 not miles apart but far more detailed in their approach than Aira less so and were by far more expensive. Thats not my reason for 1 star but more that when i first looked at them they advertised a 15 year guarantee included but actually its a 5 year guarantee and if you want a 15 year guarantee you have to pay a monthly fee on top of the purchase price to enable the guarantee. HIES will only back it with a 2 year insurance backed warranty so your relying on Aira being around for the full term when they have only been in the uk just over a year. The sales guy countered this by explaining that Aira was bankrolled by Vargas and was worth billions and having researched them to confirm it appears that another company they started is in financial difficulty. So i just dont have the confidence to use them. The sales guy couldnt confirm if radiators would need to be changed but added them to the quote, surely the should know but seemed to fall back on telling me the tech survey would confirm. So seems like the sales model is sell and we can make it fit. Hugely dissapointed too that they appear to have some kind of discount table they work from as when i mentioned i had had cheaper quotes they started to mention discounts for referring a friend and managers special and so on. It reminded me of the old style double glazing type salesman and even with the discounts it was still more expensive. On that basis i would not recommend Aira, too many red flags and they very much come across as a one size fits all and are making the most of the Boiler Upgrade Scheme and as we have seen many times before companies come and go very quickly, so cannot place my trust in them for such a new business. Very slick marketing that caught my eye but thats where it stops.	1
Everything was brilliant until it was fitted! Aftercare team is woeful! A month after it was fitted we had a leak caused by the engineer to which they dealt with at the time within a couple of hours but the damage that was caused has not been rectified and when they did send Joe Bloggs to come and paint the ceiling well… put it this way Stevie Wonder could have done a better job!! The 2 chairs he took away to clean from the dirty water have lost the firmness and stains are still visible and the flooring wasn’t even considered yet the water made the floor soft and we’ve had to change the flooring throughout the entire kitchen because of this!! Honestly been fobbed off so many times it’s appalling!	1
Die Berichte über den Preis einer Wärmepumpe mit Installation entspricht nicht der Wahrheit. Die 70 Prozent Förderung werden in den wenigsten Fällen erreicht. Dazu kommen noch Kosten für eventuelle Öltankentsorgung, Abbrucharbeiten, Demontagen, z.T. aufwendige Elektroinstallation, Fundamente,Kernbohrungen etc.. Heizlastberechnung und hydraulischer Abgleich nicht zu unterschätzen.  Der Eigenanteil beträgt meistens 30000-35000 Euro.Einfach nur aufpassen bei derartigen verlockenden Angeboten.	1
Waited in all afternoon, survey to be started at 2:30, no one arrived, called ,onto answer phone, left message, e-mailed.4:30 no survey team no phone call no e-mail reply. Not good service.	1
Avoid AIRA! The Technical personnel were competent but the rest were rather like the old ‘Double Glazing’ Companies strategy! (Despite the fact that this Company is a very recent entry into the UK Heat Pump market, I was interested enough to get a quote, knowing their business elsewhere.)The original ‘quote’ of around £8,600 (after £7,600 grant ) from the Salesman seemed on the high side but for their system and conditions, made a little sense so I accepted for the next stage, which was the survey by their professional surveyor. (The survey was only possible if you accepted the Salesman original quote and paid the fee - it took many phone calls to get confirmation that the £99 was refundable if, for any reason, the work did not go ahead.)After the  survey the original Salemans Quote then increased by over 40%!!! (This increase included some items that the salesman has ticked as in the original quote, and yes, I still have that document.) Rather a shock! I did try and follow up to find out why there was such an increase, as I was still interested in their product, only to be met with excuses from the ‘Salesman’s Manager’ that ‘the Salesman had made mistakes’ or ‘he’d only been with them a short while’ and that they’d ’spoken to him’ - as if that was of any interest to me at all!! They obviously had more interest in looking after the salesman rather than their disappointment/miss-sold,  prospective customer! I still persevered and was promised my concern would be elevated and was  then offered £200.00 off after the Salesman’s Manager had spoken to her boss! Obviously totally unacceptable!I still persevered (didn’t give up even then) and was promised my Quote and concerns would be elevated to an even more Senior Managers level by the a Salesmans Manager and she would call me back! I’m still waiting for that return phone call and, of course, have taken my Heat Pump journey elsewhere to a Company that cares and has proved very professional in all respects. There were two of us present at the start with the AIRA Salesman and made it very clear we wanted a complete ‘Turnkey Project’ ie everything included and that’s what we were promised by the salesman!I have no doubt their equipment is fit for purpose, it’s a pity this is not echoed by the Sales Department of the Company.	1
We went with Aira for a number of reasons, there guarantee the time scale of 30 days to complete and the sales team that came out to quote.Unfortunately Aira have massively let us down and have now left us with no heating from July we are still without heating to this day with no response or support from Aira with an 18month old and my wife who is pregnant.We do have a complicated house which is a full renovation project, with no current heating system installed. At every stage from the initial quote to the technical I said are you sure you can take this on. Each person that came out said they could do it and it wouldn’t be a problem. We really wanted to get the heating in before the winter for obvious reasons. After a month of waiting for a date to start they came back to us and said there was a problem and they would have to re survey the house. Which they did, they said that the heat loss had gone from 13ish to 18ish. They took off a room that we said we were happy not to have heated. Oh and added £ 10,000 to the price (so don’t believe there price guarantee) or we needed to add insulation to the external walls. We got a quote to have insulation added. However this time they said the price would be £10,000 even with external wall insulation added to the property. And then to top it off they stopped contacting us all together.We are still without a heating system. I really wanted Aira to be fantastic. If you have a simple install that takes no real planning and is straight swap I’m sure they will be good for you. If you want a system that is optimal I would not go with Aira. I also would not trust them to support you if anything major goes wrong. I have never experienced a company that would just drop a customer like they have us.Edit to reply —I would love to see your call logs and email records where you contacted me during October. The last contact I had was from your reception team to say that they were closing my case. I explained that we were waiting for a call from Deepak as the plans had not been confirmed. She apologised and she would get Deepak to call. We are still awaiting that call.You did a second survey and initially said if we insulate we wouldn’t need a second heat pump. We got a quote for this and said we would insulate and then suddenly even with all walls being internally insulated and adding doors to separate rooms and even removing a room (conservatory) from the plans you still said we would need a second heat pump and to pay £10,000. This would have meant the total install costing us close to £30,000 with insulation and doors! You clearly didn’t want the job I have had a couple of quotes since from other heating engineers who have explained it is near impossible for the heat loss to jump that much and they have all come back with close to your original figure for heat loss.It really is a shame as we had high hopes for you as a company and I genuinely hope you can improve you processes. There are multiple reviews not just on here but across social media of people that have expanded what we have with you.	1
Schlechte Erfahrung mit AiraDie Entscheidung für die Wärmepumpe von Aira fiel nicht zuletzt deshalb, weil uns der Aussendienst MA fest zusagte, dass die Montage nicht von Subunternehmern durchgeführt wird.Leider war dies nicht der Fall, die Anlage wurde mehr schlecht als recht von einer Fremdfirma Anfang Juli 2024 verbaut.Alle Installationsmängel hier aufzuzählen, würde den Rahmen sprengen.Es folgten viele Anrufe, E-Mails und Briefe bis am 20.09.2024 ein MA von Aira bei uns im Haus war, der wiedermal alle Mängel aufnahm.Er sagte uns fest zu, dass am nächsten Tag sich sein Vorgesetzter bei uns meldet, um den Ablauf der Mängelbeseitigung zu besprechen, was leider nicht passierte.Wir brachten uns wiedermal mit Anrufen, E-Mails und Einschreiben-Rückschein in Erinnerung, damit die Anlage endlich vertragsgemäß fertiggestellt wird.Wie schon gewohnt...keine Reaktion.Das letzte Einschreiben mit Fristsetzung an die Zentrale in Berlin, im November 2024, wurde bei der Post hinterlegt und dort nicht abgeholt, es ging nach 4 Wochen an uns zurück.Am 13.12.2024 hat sich ein MA gemeldet, der uns wiedermal bat alle Mängel aufzulisten, was aber bei Aira hinreichend bekannt ist.Auf unsere Nachfrage, ein paar Tage später, wie es nun weitergeht, wie schon gewohnt...keine Reaktion .Wir hatten schon viele Handwerker in unserem Haus, aber wie bei Aira mit Mängelbeseitung und vertagsgemäßer Erfüllung umgegangen wird, ist schon sehr bemerkenswert.Heute nun der nächste Höhepunkt: eine Zahlungsaufforderung den noch ausstehenden Betrag binnen 5 Tagen zu bezahlen.Von der entgültigen Fertigstellung der Anlage keine Rede.Wir sollen für eine Anlage, die nicht mal im Ansatz nach den Vertragsbedingungen fertig gestellt wurde, bezahlen!	1
We were really excited by AIRA technology, we knew we were working with a new company and their would be teething issues, but it has been one incompetence after another. The install technicians are fantastic even though it took three attempts whilst doing a house renovation. The pump looks great, its just a shame that the heat calculation report wasn't done properly so all the radiators we bought and installed do not heat our home efficiently to get up to temperature. We have spent thousands insulating and getting everything up to standard to allow this to work in a victorian terrace. They also suggested a smaller water tank which barely fills up one bath. It has been over a month since install and we have called almost everyday to try and resolve these issues. We are just passed from one customer service agent to another and never receive a call back from a designer. Even talking to managers gets us nowhere. They send out technicians who cannot fix design flaws or improve anything because the problem is with the design system for our home. The hot water tank currently takes 3 hrs to reheat so more than one person having a shower means it is only Luke warm. We really wish AIRA could get their act together and actually provide the guarantees they offer. They have been paid by BUS grant so as far as they are concerned its no loss to them and they don't seem to care about any of their guarantees as they have been paid.	1
Initial experience was good but it rapidly fell apart. Their communication was hopeless, random design changes, no one seemed to have a clue. Last straw was the third time someone promised faithfully to call me on an agreed date and failed to do so. I regret spending so much time trying in vain to help them get their act together. I emailed that I'd given up on them, said I would be happy discuss my experience so they could learn for the future, but no one called. Useless	1
ich bin mit dem Produkt äußerst unzufrieden.im Oktober habe ich Aira 8 kW W/L bei Ihnen erworben, wobei folgendes Problem aufgetreten ist;--> extrem hohe Stromverbrauch --> COP Wert ist wie bei Chinesen schön hoch gesetzt.--> Anlage hat SW- Probleme ohne Ende--> Ausbeutung der osteuropäischen Arbeiter. Die arbeiten ohne jegliche Konzession, nur der Meister kommt am Ende für 10 Minuten. --> Aira schickt nur die Rechnung und kümmern sich um die Probleme erst, wenn man die mit dem Anwalt droht.Fazit;Das Produkt sowie Anfänger Start-up sind absolut nicht marktreif.einfach Finger weg. Die Produkte kosten auch höher als Bosch oder Vaillant. Und was Qualität angeht ist nicht vergleichbar mit einem Bosch, Vaillant, Wiesmann usw.	1
Assistenza  post vendita pessima, installata pompa di calore il 27 novembre è il 1 dicembre ha smesso di funzionare, assistenza che chiamo al numero segnato su la caldaia sembrano sempre che li dai fastidio, dal 1 dicembre non e stato risolto il problema, c'è anche una perdita nel impianto che ho segnalato 2 volte e ancora niente, poco serietà. Ora sono con 2 bambini a casa a 14 gradi e acqua calda non arriva a scaldare più di 29 gradi. Riscaldamento non funziona. Quindi la storia della garanzia dei 20 grandi in casa e una buffa.	1
I contacted Aira as i was planning a home extension and wanted to plan to include a heat pump at the same time. I was initially impressed by the call centre and the initial visit from the technician. Subsequently, once the build had started I contacted them to see if they could visit the site to ensure that all plumbing and electric work was appropriate before plastering and floor were installed (the alternative was that i would need to rip up my floors and walls after the fact to accommodate the heat pump). They refused saying they would only be able to assist after the renovation was complete which makes no sense as it was impossible for my contractor to install the plumbing and electrical works with no input from the installer. I explained this to the call centre and still was told point blank they could not assist with such a pre-site visit. I then contacted an alternative service provider and it has been a much simpler experience with detailed schematics of plumbing and electrical requirements being provided to my contractors AND a pre-site visit scheduled. Dont recommend Aira at all as they are all talk and no action!	1
Finger weg von dieser Firma nur Pfusch Heizkörper nicht dicht im Haus wird es nicht warm keiner fühlt sich verantwortlich auf mehrere Schreiben meldet sich niemand Hauptsache das Geld wurde überwiesen schalte jetzt meinen Rechtsanwalt ein	1
Wow, dodged a major bullet with Aira! Impressed by their ethos, origins, & promises, I completed their survey in April and waited for their new heat pump with 15-year warranty & 0% financing. Months of back-and-forth to make the install super easy… only to find out – surprise! – no 0% option, no price flexibility, and zero clue about what a customer actually needs. Salesperson was condescending, even scolded me for taking time to make a careful decision. Sales manager? Polite, but kept pushing, 'overheads' and 'must complete install this month' line. If they can’t even listen to customers upfront, what’s service going to look like later? Thanks but no thanks, Aira.#CustomerExperienceFail #DodgedABullet #ServiceMatters #ListenToYourCustomers #GoodbyeAira"	1
The initial visit and plan was very good and we were in agreement. We received confirmation of installation for the 21st October. And then when the day came, nobody showed up. We chased it up and only then did they mention they were concerned there may be asbestos at our property. Something not mentioned on the two prior visits, nor ahead of our scheduled date. My partner and I both took our last week of annual leave for this date. Furthermore we put a huge deposit on a kitchen to be installed after aira did the work (with plans to put things where our old back boiler is), which now obviously can't happen. We've chased up again three times by email, and 5 times by phone, since the 21st October, to find out what's happening now. We've been arranging asbestos testing with a company who liase directly with Aira, and still haven't heard anything back from them either. We're no further along and nobody at aira, including the regional manager for Cambridge, seems to think it's their job to sort any of this out, we're in limbo.Avoid this company like the plague. I feel sick that we're paying our hard earned cash to this company.	1
Leider war das ein Satz mit X, war wohl nix!Von dem Versprechen, dass die Wärmepumpe Ende September bei uns eingebaut ist und läuft ist die Realität verblieben, dass die Firma Aira den Einbau nicht durchführen kann.Es bleibt der Eindruck, dass es dieser Firma nur um das schnelle Geld geht.Bei Anlagen, die mehr Wissen benötigen, duckt man sich weg und, was für mich das Schlimmste ist, die Firma Aira stellt jegliche Kommunikation ein.	1
Happy Halloween…das dachte wohl auch der Aira Mitarbeiter mit dem ich heute einen Beratungstermin zwischen 14 -16Uhr vereinbart hatte. Leider kam weder der Mitarbeiter noch ein Anruf ggf. Entschuldigung für das nicht stattfinden.Wenn das der Start einer soliden Zusammenarbeit sein soll, dann ziehe ich hier mal gleich die Reißleine. Danke für nichts. (ein Stern ist noch zuviel).	1
I initially chose the AIRA heat pump for its sleek design, competitive price, market-leading 15-year warranty, and strong performance reviews. Installed in May 2024, I was optimistic about the benefits it would bring, but unfortunately, my experience since then has been far from ideal.The heat pump has encountered several issues. First, it failed to go into “away mode,” meaning it continued heating water even when I wasn’t at home. A leak soon followed, causing pressure to drop below 1 bar, and a series of minor problems required frequent visits from AIRA’s maintenance team. While the customer service (especially Angela) and maintenance staff have been superb, I am growing tired of needing support so frequently for a supposedly reliable system.The design itself has significant flaws. On several occasions, the app failed to communicate with the heat pump, and there’s no manual override system—a major oversight that limits control when there are connectivity issues. The external compressor had to be replaced because it was faulty. Since AIRA is only now establishing itself in the UK, assistance is mostly handled remotely from Sweden, but reaching their Swedish team is often challenging and time-consuming.One of the most frustrating issues has been the pump’s abnormal electricity consumption overnight. As mentioned by AIRA  in their reply, the issue has been resolved, and I appreciated the company's goodwill gesture towards addressing an issue I had with a radiator - an issue not caused by AIRA. While I appreciate the dedication of their customer service and maintenance teams, the unreliability and persistent technical issues with the AIRA heat pump have left me disappointed. The brand's commitment to excellent customer support is evident, but a dependable and well-designed product should be the foundation for any company’s reputation. UPDATE - 20 Dec. 2024: It seems the issues I previously experienced have now been resolved. However, I still believe the unit would greatly benefit from manual controls, and I find it puzzling that setting the heating on a timer isn’t currently an option. The AIRA support team has assured me this feature will be available soon. If everything functions smoothly in the coming months and the ability to schedule heating is introduced, I plan to update this review with an additional star.UPDATE - 24 Dec. 2024: The heat pump stopped working again. There's no way to communicate between the app and the unit. There's 12C in the house, and no one is picking up my calls from AIRA. Because it's Christmas Eve. Meryy X-Mas everyone.	1
The only way I could get a technical survey done was to pay £99 and accept the quote which I was told would not necessarily mean that I was committed and that I could withdraw after the survey if the result didn't suit my purpose. Later a caller from the company said if I had the survey done it would be acceptance that I would go ahead and wanted to book a installation date. To me that is hard sell tactics.	1
Blev lite besviken att jag fick betala tullavgift såg inte info om detta	1
Fick svara på massor med frågor om utformning av installationen som intsallatören istället borde kunnat kolla på plats. I slutändan vägrade installatören dra elledning i befintliga rör i backen (trotts att vi har ett nybyggt hus med alla egenkontroller). Så vi fick avboka alltihopa och då betala för återsändelsen av laddboxen.	1
Tilläggskostnader för installation kommer efter av kund godkänd offert från säljare även att information lämnats till säljare om elskåp. Känns som man luras in med lågt pris och sedan när man är på kroken....Person som administrerar information ang installationen måste ha kunskap om det praktiska arbetet och inte behöva fråga installatör. Utdragna diskussioner där informationen på frågor kommer sent eller inte alls.	1
Det håller inte sina leveranstider. Skulle få min laddbox efter 1-3v den installerades 6veckan. De säljer även med elavtal med greenely men trots att de fick information om att jag har en Volvo så informerar de inte att Greenelys smartladdning inte är kompitabel med Volvos elbilar. Laddboxen funkar som den ska och installationen gick smidigt när de väl kom ut.	1
När jag gjorde beställningen fick jag en installationstid på 1-2 veckor. Laddaren installerades dock inte förens 5veckor senare. Efter installation kom det ytterligare en faktura för en jordfelsbrytare som inte framgick skulle bli en extrakostnad.	1
